ds,y,yhat,yhat_lower,yhat_upper,anomaly
2023-12-10,65.64072916666667,53.02616750742627,33.77627548074612,72.01197291475805,False
2023-12-11,66.33427083333333,52.370321842186456,31.896389089488448,71.56684521178566,False
2023-12-12,62.00229166666667,51.77597245499805,32.339384324454244,71.10527793204793,False
2023-12-13,51.509791666666665,51.236989367231054,32.39596053515526,69.8592690678717,False
2023-12-14,47.61604166666667,50.99924170410429,32.01397762271684,71.39559164256941,False
2023-12-15,49.591145833333336,50.9335026314558,30.91215054360575,71.48529409972235,False
2023-12-16,52.94895833333334,50.36494027206103,30.751443561204585,70.70424459358323,False
2023-12-17,55.913645833333334,49.3914862071194,30.45726825081089,69.43667940496177,False
2023-12-18,59.16645833333333,48.75803282834751,29.43305159712014,68.71228698303737,False
2023-12-19,49.47354166666667,48.2317957578911,27.974544207820482,69.46632941823692,False
2023-12-20,36.10010416666667,47.80454330376825,28.205067308748188,65.78851814530829,False
2023-12-21,37.23729166666667,47.719655073141524,29.24466870482449,67.35649611409131,False
2023-12-22,39.70395833333333,47.845088742353575,28.48740225143954,67.120790168547,False
2023-12-23,42.330104166666665,47.50292829655257,27.609456530460537,66.68046663581285,False
2023-12-24,46.66854166666667,46.78780490127014,27.42888000049567,67.40318235667604,False
2023-12-25,50.5609375,46.44114152134383,24.69297461437292,67.29834216687867,False
2023-12-26,52.9965625,46.22655761938121,25.21942830709831,64.90796136835101,False
2023-12-27,55.388645833333335,46.13213624444667,27.40257365856551,64.86281031837636,False
2023-12-28,57.71333333333333,46.397516160936746,28.083523995622716,64.68676378210974,False
2023-12-29,60.294062499999995,46.88688868095303,30.074424198601907,67.7793141856544,False
2023-12-30,59.54635416666667,46.9185732631253,26.99570595263578,68.10257256765266,False
2023-12-31,54.62729166666667,46.58346382489232,27.078498408417857,65.86783229674924,False
2024-01-01,52.41677083333334,46.61929765247479,25.430520442815,65.51665775810729,False
2024-01-02,52.54604166666667,46.78608394723021,24.65074468359759,66.39882602367112,False
2024-01-03,54.00791666666667,47.06839492103371,27.73924581995316,67.28929639755691,False
2024-01-04,57.012812499999995,47.70248255292115,28.719490814741352,67.8386375917764,False
2024-01-05,57.529895833333335,48.5493009649919,27.950434184513963,67.88472356542691,False
2024-01-06,58.28968750000001,48.9241085886694,29.958383670267335,68.0734213533791,False
2024-01-07,59.16916666666666,48.91494197995259,27.610855377917016,68.51186525879443,False
2024-01-08,60.9853125,49.25691288278013,29.138151848651745,68.51413716982614,False
2024-01-09,61.85874999999999,49.707665106113055,29.243444775037386,69.18852792163037,False
2024-01-10,55.63739583333333,50.24969348443314,29.755972309675084,69.95689248398742,False
2024-01-11,52.25635416666666,51.11748724695404,30.706125929116272,69.58061919550141,False
2024-01-12,42.44114583333333,52.17057685600724,32.92066026469829,71.76756842018887,False
2024-01-13,41.430104166666666,52.723157516190746,33.809080803957364,72.53297255799686,False
2024-01-14,43.89052083333333,52.86258021491655,34.93822912509817,71.56006979682401,False
2024-01-15,40.02885416666667,53.32366091263487,33.938715406370186,72.33636939197032,False
2024-01-16,39.27166666666667,53.86414353117113,33.884848092544026,74.30019678149355,False
2024-01-17,38.89145833333333,54.46700867870541,35.23019745605405,75.30223279554663,False
2024-01-18,38.90145833333333,55.36763739894157,35.46556538745921,73.91991113232314,False
2024-01-19,41.816562499999996,56.42681330470909,37.24687883475459,76.44164335540779,False
2024-01-20,46.312916666666666,56.960331291551654,37.316057807603094,76.52769449378474,False
2024-01-21,52.8646875,57.05745608103503,37.117758036683405,76.08737556348058,False
2024-01-22,54.85104166666667,57.45519100755721,38.53378035104754,77.66153321546304,False
2024-01-23,56.86447916666666,57.913693242040374,38.70733780775882,76.72893358814709,False
2024-01-24,58.139375,58.418537730098265,39.363559014423195,80.77320206249621,False
2024-01-25,60.310833333333335,59.20779258900561,40.561893646804116,79.17811887383778,False
2024-01-26,64.00333333333333,60.144985870949895,40.25452006271727,81.56362281349391,False
2024-01-27,63.05531250000001,60.548638171120906,41.29544551705622,79.9584384264285,False
2024-01-28,57.01541666666666,60.51065363395227,41.37401036514829,79.96273315347277,False
2024-01-29,53.13072916666667,60.77052205511576,40.575860098165315,79.70346480648716,False
2024-01-30,54.90375,61.09067014896973,41.29262767992955,79.53013082542074,False
2024-01-31,54.9425,61.45866614838998,43.084598816593584,81.59226623049607,False
2024-02-01,56.4765625,62.114242324473715,43.440671380992455,80.46109816757112,False
2024-02-02,58.89895833333333,62.9222170713642,42.66313647627217,82.07337143792112,False
2024-02-03,60.55135416666667,63.20199260873616,43.2317193218767,81.68877849649456,False
2024-02-04,60.62177083333333,63.04592221079618,43.316443706347634,83.72598921682727,False
2024-02-05,60.70010416666667,63.193500746149844,43.71157377852928,82.94522020198487,False
2024-02-06,61.785937499999996,63.40671737347728,45.75955823918444,83.378655504027,False
2024-02-07,63.315416666666664,63.67227498841419,43.43141179641133,82.20156555086055,False
2024-02-08,64.73145833333334,64.22864106581211,43.337709551856825,82.56315377412847,False
2024-02-09,66.0678125,64.9390112125146,45.148951308042726,84.75091460799756,False
2024-02-10,67.65791666666667,65.12086076299046,46.18809475224136,84.88656925855659,False
2024-02-11,70.12614583333333,64.86437722434047,45.60500911599726,83.86484156310456,False
2024-02-12,70.27552083333333,64.90672589055143,44.92418212468602,84.58607926909283,False
2024-02-13,68.64291666666666,65.00748567513311,45.03511645798859,85.09689162470794,False
2024-02-14,66.08010416666666,65.15095767215604,44.377794417292044,84.92072643050354,False
2024-02-15,64.50260416666667,65.57330876605556,46.08979155983402,84.95263817841008,False
2024-02-16,64.64052083333333,66.13562910240951,48.071587452678834,85.05601282979124,False
2024-02-17,66.43552083333334,66.15357613613028,46.70749660921873,84.67820653948843,False
2024-02-18,67.89197916666667,65.71589540530627,46.19111080680155,85.56779104699514,False
2024-02-19,68.29670454545455,65.55876772361484,47.93823311323825,85.94018020411305,False
2024-02-20,69.26365853658537,65.44131731915903,45.35231209694465,84.91347482039471,False
2024-02-21,70.34479166666667,65.34798108700633,46.27716551769844,84.62590434677212,False
2024-02-22,71.00614583333333,65.51569918077055,45.60858168459649,85.30679842958588,False
2024-02-23,72.34375,65.80700397217976,46.5091678747642,84.8055826277099,False
2024-02-24,75.33479166666667,65.53967867955747,46.37011029090827,84.87684146453472,False
2024-02-25,76.36791666666666,64.80527481287092,44.557132732206945,86.24103279750867,False
2024-02-26,74.82614583333334,64.3434375788721,45.13899508728612,85.76874978486897,False
2024-02-27,74.75625000000001,63.91737370065673,44.53240055646284,84.25942983657154,False
2024-02-28,78.51041666666667,63.51616223282493,43.47625194015343,83.47295694284128,False
2024-02-29,77.9784375,63.32100042931389,44.30540276787794,84.51063902464568,False
2024-03-01,72.66875,63.26080840904101,43.74376448037201,82.8201367125521,False
2024-03-02,69.86052083333333,62.6591750483381,43.57787052144354,81.68966287649049,False
2024-03-03,64.62197916666666,61.61362715682138,40.13144215427896,81.80687813897833,False
2024-03-04,65.4696875,60.86982830964708,40.39526436836592,80.9478665571414,False
2024-03-05,61.53229166666667,60.19691372444701,41.17946984657355,79.93679526194984,False
2024-03-06,59.090937499999995,59.58966485106748,41.10464220790517,80.04479080142771,False
2024-03-07,57.668125,59.29548803211623,39.625606495277886,78.23052815114598,False
2024-03-08,54.921875,59.18727893164411,39.51598450754809,77.96466621160405,False
2024-03-09,48.1625,58.592849126272924,39.418240932491,77.23956962030535,False
2024-03-10,47.486354166666665,57.61320940117908,37.90302947314093,76.35150102844948,False
2024-03-11,50.2290625,56.99666445764809,37.133785999383456,77.27719998864409,False
2024-03-12,47.13010416666666,56.51405907941896,36.3097028395377,74.9742480910366,False
2024-03-13,51.5225,56.16088182104385,36.10506161696555,76.82942377321314,False
2024-03-14,59.56020833333333,56.184192575815246,35.47067783036826,75.53223457747224,False
2024-03-15,64.93947916666666,56.455457272235634,37.46621037411935,75.91204118819614,False
2024-03-16,69.69197916666667,56.29996715522274,35.95976930727921,75.42190963504069,False
2024-03-17,72.15885416666667,55.815137738089625,34.7330235809482,74.68190892485228,False
2024-03-18,72.4284375,55.74464214121734,36.44162542230453,74.9154737630117,False
2024-03-19,73.52510416666667,55.8537183374279,35.86186278885737,75.31527203139494,False
